5770	CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
5902	CCN(CC)CCNC(C1=CC=CC=C1)C(=O)OCCC(C)C
5927	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O
5953	COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3CC4CCN3C[C@@H]4C=C)O
5993	C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
6075	CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42
6239	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl
6294	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
6478	C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl
6529	CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C
6536	CCN(CC)CCOC1=CC=C(C=C1)C(CC2=CC=C(C=C2)Cl)(C3=CC=C(C=C3)C)O
6625	C1=CC(=CC=C1S(=O)(=O)C2=CC=C(C=C2)Cl)Cl
6641	CC(C)(C1=CC=CC=C1)OOC(C)(C)C2=CC=CC=C2
6720	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-]
6753	CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-]
6769	CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCC5=C([C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC
6834	CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2
6983	C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-]
6999	C1=CC=C(C(=C1)O)[Hg]Cl
7013	C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32
7077	CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2
7095	C1=CC=C(C=C1)C2=CC=CC=C2
7216	CCN(CC)C(=S)SCC(=C)Cl
7263	C1=CC(=C(C=C1Cl)N)N
7308	CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O
7472	CN(C)C1=CC=C(C=C1)N
7589	CCC(C)NC1=CC=C(C=C1)NC(C)CC
8268	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl
8363	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
8371	C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl
8425	C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O
8447	C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3
8478	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-]
8520	CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl
8550	CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
8606	C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl
8679	C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2
8689	C1=CC=C(C=C1)NN=NC2=CC=CC=C2
8722	CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
9147	C1C2=CC=CC3=C2C4=C(C=CC=C41)C=C3
9217	C1=CC=C2C(=C1)OC3=CC=CC=C3S2
9330	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O
9509	C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
9568	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.Cl
9903	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
10578	CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-]
10646	C1CCN(C1)CCN2C3=CC=CC=C3SC4=CC=CC=C42
10660	CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
10866	CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-]
11048	C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br)C(=O)[O-].[Na+].[Na+]
11057	CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
11061	CCN(CC)CCSC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
11065	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
11102	CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-]
11767	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2[N+](=O)[O-]
11852	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O
11921	C1=CC=C(C(=C1)CCl)[N+](=O)[O-]
11937	C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N
13101	CC(C)CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2
13113	CCN(CC)CCC(=O)N1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
13118	C1=C(OC(=C1)[N+](=O)[O-])C=CC(=NN=C(N)N)C=CC2=CC=C(O2)[N+](=O)[O-]
13428	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-]
13985	CCCCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCCC)CCCC.Cl
14520	CC(=O)NC1CCSC1=O
14668	CC(CN1C2=CC=CC=C2SC3=C1N=CC=C3)N(C)C.Cl
14676	CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl
15330	CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C
15376	CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O
15443	C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3
15583	C1C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)CBr
16329	C1=CC=C(C=C1)C2=CC=CC=C2Br
16351	CN1CCN(CC1)C2=NC3=CC=CC=C3SC4=C2C=C(C=C4)Cl
16363	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
16449	C1=CC=C(C=C1)C2=CC(=CC=C2)Br
16659	C1=CC=C2C(=C1)N=C(C(=N2)Cl)Cl
16932	CC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4
16957	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-]
17170	CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl
18177	C(#N)C(Cl)Cl
18728	C1CC(C(CC1C(CBr)Br)Br)Br
19675	CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO
21517	CCCCCCCCCCCC[N+]1=CC2=CC=CC=C2C=C1.CC1=CC=C(C=C1)S(=O)(=O)[O-]
21847	C1CN(CCC1C2(CCC(=O)NC2=O)C3=CC=CC=C3)CC4=CC=CC=C4
22463	C1=CC2=C(C=CC(=C2)SSC3=CC4=C(C=C3)C=C(C=C4)O)C=C1O
22529	CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=CC=C4.CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=CC=C4.C1=CC2=C(C=CC=C2S(=O)(=O)O)C(=C1)S(=O)(=O)O
22549	CC(CCC=C(C)C)NC.Cl
22576	CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl
22772	C(SC#N)SC#N
23480	CC(CC(C1=CC=CC=C1)C2=CC=CC=C2)NC(C)(C)C
24352	CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C
24773	CCCCCCCCCC1=CC=C(C=C1)OCCOCCO
25608	C1=CC(=C(C=C1C(Cl)(Cl)Cl)Cl)Cl
26041	C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2]
27400	CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1
27582	C1=CC(=C(C(=C1O)Cl)Cl)Cl
